	SP1	SP2	SP3	SP4	SP5	SP6	SP7	SP8	SP9	SP10	SP11	SP12	SP13	SP14	SP15
MCA_RS03840	12616	4327	13253	2343	3555	3406	8909	5291	10194	11305	13382	7505	4158	15904	9060
MCA_RS03845	27748	7801	23146	4716	10216	10078	16877	14000	17573	17653	25641	12957	6242	28001	13126
MCA_RS03850	1665495	495288	1590139	342110	477287	734503	1064203	759582	1206702	1013017	1134167	1273759	131167	1315637	876789
MCA_RS03855	408085	123346	389672	72810	88556	142229	254643	196082	283590	270891	285119	336489	33034	310765	216991
MCA_RS03860	435508	168207	440395	96598	128280	183074	342989	258817	388506	352970	396325	392973	38281	418682	306020
MCA_RS03865	289600	101102	309997	88812	127770	154801	215123	161287	266209	234741	246540	286768	28834	277768	214029
MCA_RS03870	83417	24415	77793	12183	21068	26407	57672	43968	58423	62400	81220	55430	7124	66570	38118
MCA_RS03875	59874	24103	67511	19495	37483	46600	45255	37939	55331	50711	63869	46239	5895	56930	49552
MCA_RS03880	54318	14388	46885	9823	22101	25798	25395	19113	35816	29373	38608	39262	4222	37353	21376
MCA_RS03885	14908	5398	16463	4464	9698	15144	9641	7341	12653	12095	16657	10683	1713	14076	8844
MCA_RS03890	17835	6247	21656	5476	14672	14447	11240	7574	16767	13078	15231	17679	1795	17726	10678
MCA_RS03895	24039	7090	24935	4490	9687	11316	12452	9498	17141	15757	19826	17591	1394	20039	12720
MCA_RS03900	46513	16837	42942	7051	8782	16355	28062	21854	35534	33308	38764	28977	3475	38282	28515
MCA_RS03905	9697	2248	9512	1134	5401	5338	6457	3196	7597	8209	9958	7238	1101	8414	5230
MCA_RS03910	4967	1141	3621	733	1014	1756	3465	3047	2651	3228	6136	2199	843	4116	2470
MCA_RS03915	46869	19693	52779	12962	20324	29678	36982	37044	42079	33687	53776	27689	21158	64151	42400
MCA_RS03920	1387	328	2039	292	416	678	1506	1092	895	1176	2749	1553	386	2763	1316
MCA_RS03925	6089	1237	6464	475	1991	2534	4039	3373	4653	4000	9107	4183	2398	7924	3703
MCA_RS03930	6635	3262	6265	611	1266	1227	6520	5102	7298	7359	10970	2685	4360	11764	7563
MCA_RS03935	3785	1305	3442	421	143	930	2433	2727	2990	4042	4892	2826	2789	5921	3021
MCA_RS03940	3035	1578	3461	362	505	439	2821	2256	2558	3532	4089	2216	1720	4378	2207
MCA_RS03945	2388	637	1974	288	394	783	1893	1224	1123	2032	2146	710	970	2579	1286
MCA_RS03950	3380	1390	2402	233	700	539	2768	2086	2333	1625	2638	2360	1653	3566	1779
MCA_RS03955	3538	853	3684	811	856	1917	3195	1796	4091	3058	2712	3386	2343	5254	2618
MCA_RS03960	4869	367	3350	1004	1127	855	2061	1111	2683	2332	3536	3546	1142	5735	2725
MCA_RS03965	2381	677	2482	418	1040	1116	2238	896	2893	1546	3233	2460	1094	4871	1126
MCA_RS03970	13444	5571	15643	2622	4656	6609	9696	5555	13276	10937	12698	9177	7309	21869	10387
MCA_RS03975	22641	9446	26402	5948	11539	14605	15507	9605	23889	22016	20213	24870	15959	39619	20975
MCA_RS03980	47516	15258	50472	13392	26597	34144	23796	16777	34273	33159	39465	39728	24510	67182	29140
MCA_RS03985	14781	5808	13498	1182	4444	2729	8005	6508	9571	8887	10432	8734	6013	12747	7929
MCA_RS03990	25642	9492	29338	6868	12100	15125	19206	14217	20164	20495	26554	18800	11857	33291	19219
MCA_RS03995	4533	2534	5986	471	737	1332	4756	2928	3737	3373	5335	3742	2256	6811	3142
MCA_RS04000	16845	5935	14396	3283	9593	9741	8728	7846	10419	10857	13839	12722	5816	17911	8952
MCA_RS04005	18612	7271	18823	2584	4507	7634	11893	11952	12982	13320	19864	11604	6263	21297	13267
MCA_RS04010	5720	1607	6395	1196	3057	3674	5388	4416	5311	5155	6515	4158	2691	7041	3959
MCA_RS04015	28170	12192	32046	5547	8762	14094	23180	16345	25269	25443	30665	20072	11133	38683	22356
MCA_RS04020	17588	7559	13554	1760	4036	5024	8551	8121	11302	9537	16163	7162	4790	12860	7891
MCA_RS04025	68813	24292	60895	6935	16405	20826	37566	31999	45381	36187	55312	33122	19916	61643	32398
MCA_RS04030	5895	3305	6131	1057	3986	2770	4447	2687	4678	5053	4721	5502	2569	9305	3885
