	SP1	SP2	SP3	SP4	SP5	SP6	SP7	SP8	SP9	SP10	SP11	SP12	SP13	SP14	SP15
MCA_RS09245	6.642300429	7.22884885	6.812187879	6.018891552	7.104879192	6.712437539	7.120796111	7.048121462	7.185461259	6.744040899	6.578869597	6.689470108	6.875915715	6.391595977	6.294415154
MCA_RS09250	9.413348603	8.978071496	9.401576385	10.01641521	9.873974319	10.08251144	9.359485757	9.093063772	9.487364605	9.290982905	9.229089305	9.944878474	8.91967783	9.285551631	9.289896672
MCA_RS09255	5.945258044	5.097554062	6.051236033	2.324424039	5.236274165	5.765088267	5.824053427	5.7174452	5.862676481	5.984316552	6.583926597	6.176921888	5.258874941	5.400022793	4.393747641
MCA_RS09260	4.331175964	2.725865444	4.344164173	-3.624563463	3.955325779	-3.624563463	4.188094034	-3.624563463	3.48229115	3.726279279	5.028630934	3.343127714	2.977547911	3.419429614	3.23670853
MCA_RS09265	4.838074845	5.097554062	4.565134703	2.617054395	-1.487493194	3.505620256	5.034799122	5.9218081	4.75411238	4.72988861	4.993130324	3.934679526	4.353880445	4.677462725	5.114019942
MCA_RS09270	6.986006424	7.400352748	6.953789809	7.701589071	7.459053325	6.567788165	7.099016212	7.127531008	6.617127006	7.268025324	7.013387185	7.15952494	7.182730675	7.093779169	6.272148582
MCA_RS09275	6.869446019	6.418683705	5.837239469	6.690398896	5.856676046	5.978598869	6.911818925	6.217058983	6.311203601	6.627373031	6.661647524	6.245593517	6.620612138	6.180683217	6.852981454
MCA_RS15375	7.04994185	7.058485624	6.79849401	6.330397729	5.992435839	5.902535725	7.270505716	7.796494074	7.358196039	7.530300772	7.105140188	6.977182191	6.726119477	6.526917879	7.219408195
MCA_RS09285	7.602778957	7.448985592	7.481133178	7.396292674	5.846348623	7.330069633	7.966117407	7.802462712	7.609889008	7.519332289	7.422991408	7.59442681	7.426421972	7.329774569	7.980926412
MCA_RS09290	7.22577667	6.822377812	7.271886267	7.196148732	7.023188817	6.760169156	6.770633425	6.974696098	6.95008641	7.354043001	7.301830407	6.857956041	7.047377583	6.734270404	6.879831177
MCA_RS09295	7.032185767	6.272525323	7.297533645	7.49304649	7.098366463	7.560115475	6.527259924	6.693229332	7.158055449	6.845981358	6.749784054	7.178310745	6.289089836	6.93672873	7.060845361
MCA_RS09300	4.792911878	4.921393801	4.253391824	-0.990105189	5.386383737	3.684980401	5.782792357	4.483757564	4.640385479	5.22376102	5.35334638	5.158642343	4.927856858	4.845592149	4.230490807
MCA_RS09310	6.350131101	6.375466675	6.053799971	6.668601789	6.647389435	7.042394142	6.900075864	7.063735823	6.58414189	6.396370097	6.837856616	6.585128572	6.051847504	6.614495111	6.760552348
MCA_RS09315	7.786430432	7.571750153	7.614762105	7.762722245	7.859019193	7.728890504	7.936374476	7.668766475	7.875509865	7.853999061	8.043958936	7.322710875	7.615986077	7.776916831	7.26667648
MCA_RS09320	7.641303916	7.863395769	7.304278691	7.94356119	8.377374567	7.951822062	7.564653724	7.775786479	7.909609067	7.922645549	7.843875344	7.328988203	7.749686775	7.739001029	7.595050284
MCA_RS09325	6.525585515	7.09263682	6.763288061	6.676566166	7.590166371	7.228584612	6.672388099	6.669749392	6.79881751	6.851055265	6.428025401	6.380223258	6.400160392	6.700481745	6.723445439
